sbj	stim	rt	key	pos	uhnd	hndns	eye	sex	age	edu
8101992752	70.bmp	0.6822083	p	1	r	r	l	m	25	3
8101992752	80.bmp	0.4368216	p	8	r	r	l	m	25	3
8101992752	40.bmp	0.4944923	p	6	r	r	l	m	25	3
8101992752	70.bmp	0.6217916	p	12	r	r	l	m	25	3
8101992752	70.bmp	0.4975873	p	2	r	r	l	m	25	3
8101992752	10.bmp	0.5571449	p	1	r	r	l	m	25	3
8101992752	0.bmp	0.5683348	p	9	r	r	l	m	25	3
8101992752	0.bmp	0.4415362	p	6	r	r	l	m	25	3
8101992752	80.bmp	0.4892171	p	11	r	r	l	m	25	3
8101992752	40.bmp	0.4770088	p	5	r	r	l	m	25	3
8101992752	80.bmp	0.4250142	p	9	r	r	l	m	25	3
8101992752	40.bmp	0.5572975	p	2	r	r	l	m	25	3
8101992752	10.bmp	0.5245479	p	5	r	r	l	m	25	3
8101992752	30.bmp	0.77524	o	8	r	r	l	m	25	3
8101992752	60.bmp	0.56641	o	2	r	r	l	m	25	3
8101992752	50.bmp	0.8116041	p	1	r	r	l	m	25	3
8101992752	60.bmp	0.6589501	o	11	r	r	l	m	25	3
8101992752	80.bmp	0.5674765	p	3	r	r	l	m	25	3
8101992752	60.bmp	0.445063	p	12	r	r	l	m	25	3
8101992752	40.bmp	0.588668	p	13	r	r	l	m	25	3
8101992752	10.bmp	0.4335538	p	12	r	r	l	m	25	3
8101992752	20.bmp	0.5580372	p	1	r	r	l	m	25	3
8101992752	10.bmp	0.4713539	p	6	r	r	l	m	25	3
8101992752	40.bmp	0.6301523	o	3	r	r	l	m	25	3
8101992752	20.bmp	0.6894177	o	6	r	r	l	m	25	3
8101992752	60.bmp	0.589114	p	1	r	r	l	m	25	3
8101992752	0.bmp	0.5962987	o	3	r	r	l	m	25	3
8101992752	0.bmp	0.4964294	o	4	r	r	l	m	25	3
8101992752	30.bmp	0.456135	o	3	r	r	l	m	25	3
8101992752	80.bmp	0.5627764	o	4	r	r	l	m	25	3
8101992752	50.bmp	0.5236814	o	4	r	r	l	m	25	3
8101992752	10.bmp	0.4080221	o	3	r	r	l	m	25	3
8101992752	20.bmp	0.5661728	p	2	r	r	l	m	25	3
8101992752	0.bmp	0.4621862	p	11	r	r	l	m	25	3
8101992752	30.bmp	0.4121109	p	2	r	r	l	m	25	3
8101992752	80.bmp	0.3993683	p	13	r	r	l	m	25	3
8101992752	10.bmp	0.4276695	p	9	r	r	l	m	25	3
8101992752	10.bmp	0.3316449	o	7	r	r	l	m	25	3
8101992752	30.bmp	0.6213908	p	13	r	r	l	m	25	3
8101992752	70.bmp	0.596945	p	13	r	r	l	m	25	3
8101992752	30.bmp	0.5253947	o	7	r	r	l	m	25	3
8101992752	10.bmp	0.6978868	p	2	r	r	l	m	25	3
8101992752	0.bmp	0.4575562	p	2	r	r	l	m	25	3
8101992752	70.bmp	0.4559245	p	8	r	r	l	m	25	3
8101992752	10.bmp	0.5084998	p	13	r	r	l	m	25	3
8101992752	0.bmp	0.338563	o	5	r	r	l	m	25	3
8101992752	60.bmp	0.306426	p	7	r	r	l	m	25	3
8101992752	70.bmp	0.6728324	o	4	r	r	l	m	25	3
8101992752	30.bmp	0.5506305	p	1	r	r	l	m	25	3
8101992752	20.bmp	0.6430529	o	8	r	r	l	m	25	3
8101992752	10.bmp	0.5923129	p	11	r	r	l	m	25	3
8101992752	80.bmp	0.716126	o	12	r	r	l	m	25	3
8101992752	60.bmp	0.6547902	p	5	r	r	l	m	25	3
8101992752	50.bmp	0.722426	p	5	r	r	l	m	25	3
8101992752	50.bmp	0.532897	p	11	r	r	l	m	25	3
8101992752	70.bmp	0.6514995	o	9	r	r	l	m	25	3
8101992752	50.bmp	0.575412	o	6	r	r	l	m	25	3
8101992752	50.bmp	0.5061284	o	8	r	r	l	m	25	3
8101992752	40.bmp	0.5457707	p	11	r	r	l	m	25	3
8101992752	40.bmp	0.6275783	p	1	r	r	l	m	25	3
8101992752	0.bmp	0.5632307	o	7	r	r	l	m	25	3
8101992752	70.bmp	0.879551	p	11	r	r	l	m	25	3
8101992752	20.bmp	0.6631181	p	11	r	r	l	m	25	3
8101992752	60.bmp	1.1354719	o	4	r	r	l	m	25	3
8101992752	0.bmp	0.59235	p	10	r	r	l	m	25	3
8101992752	0.bmp	0.5548121	p	13	r	r	l	m	25	3
8101992752	20.bmp	0.5913261	p	5	r	r	l	m	25	3
8101992752	20.bmp	0.5451473	p	12	r	r	l	m	25	3
8101992752	20.bmp	0.63435	o	3	r	r	l	m	25	3
8101992752	80.bmp	0.5520745	p	1	r	r	l	m	25	3
8101992752	70.bmp	0.4987435	p	10	r	r	l	m	25	3
8101992752	50.bmp	0.6425021	o	9	r	r	l	m	25	3
8101992752	40.bmp	0.5597565	p	12	r	r	l	m	25	3
8101992752	0.bmp	0.5890747	p	12	r	r	l	m	25	3
8101992752	0.bmp	0.6404764	p	1	r	r	l	m	25	3
8101992752	10.bmp	0.6877521	o	8	r	r	l	m	25	3
8101992752	80.bmp	0.6635946	o	7	r	r	l	m	25	3
8101992752	30.bmp	0.5782195	o	4	r	r	l	m	25	3
8101992752	30.bmp	0.7039426	p	6	r	r	l	m	25	3
8101992752	50.bmp	0.844111	o	7	r	r	l	m	25	3
8101992752	70.bmp	0.4880728	o	7	r	r	l	m	25	3
8101992752	40.bmp	0.4402158	o	7	r	r	l	m	25	3
8101992752	50.bmp	0.530037	o	8	r	r	l	m	25	3
8101992752	20.bmp	0.4678423	o	9	r	r	l	m	25	3
8101992752	50.bmp	0.5219257	p	5	r	r	l	m	25	3
8101992752	70.bmp	0.5308179	o	3	r	r	l	m	25	3
8101992752	30.bmp	0.4834671	p	11	r	r	l	m	25	3
8101992752	50.bmp	0.6491314	p	13	r	r	l	m	25	3
8101992752	30.bmp	0.5471534	p	2	r	r	l	m	25	3
8101992752	40.bmp	0.594396	p	1	r	r	l	m	25	3
8101992752	60.bmp	0.4919559	p	2	r	r	l	m	25	3
8101992752	50.bmp	0.6062304	o	9	r	r	l	m	25	3
8101992752	20.bmp	0.6479629	o	13	r	r	l	m	25	3
8101992752	60.bmp	0.6787695	p	8	r	r	l	m	25	3
8101992752	70.bmp	0.7046592	o	4	r	r	l	m	25	3
8101992752	80.bmp	0.7064047	o	7	r	r	l	m	25	3
8101992752	0.bmp	0.4784152	o	3	r	r	l	m	25	3
8101992752	10.bmp	0.5461371	p	1	r	r	l	m	25	3
8101992752	50.bmp	0.504726	p	11	r	r	l	m	25	3
8101992752	20.bmp	0.6486419	o	4	r	r	l	m	25	3
8101992752	10.bmp	0.8378174	p	10	r	r	l	m	25	3
8101992752	40.bmp	0.5148756	p	2	r	r	l	m	25	3
8101992752	0.bmp	0.7328199	o	6	r	r	l	m	25	3
8101992752	0.bmp	0.7278396	o	4	r	r	l	m	25	3
8101992752	40.bmp	0.6033933	p	13	r	r	l	m	25	3
8101992752	20.bmp	0.8704078	p	10	r	r	l	m	25	3
8101992752	70.bmp	0.5351259	p	6	r	r	l	m	25	3
8101992752	80.bmp	0.4678521	p	5	r	r	l	m	25	3
8101992752	10.bmp	0.8388313	p	5	r	r	l	m	25	3
8101992752	0.bmp	0.4738263	p	13	r	r	l	m	25	3
8101992752	30.bmp	0.5568837	p	10	r	r	l	m	25	3
8101992752	20.bmp	0.4854663	p	11	r	r	l	m	25	3
8101992752	50.bmp	0.5338182	p	12	r	r	l	m	25	3
8101992752	60.bmp	0.438064	p	5	r	r	l	m	25	3
8101992752	60.bmp	0.6437948	o	3	r	r	l	m	25	3
8101992752	40.bmp	0.6091899	p	11	r	r	l	m	25	3
8101992752	50.bmp	0.5873522	o	10	r	r	l	m	25	3
8101992752	40.bmp	0.4056182	p	9	r	r	l	m	25	3
