sbj,stm,rt,key,pos,uhnd,hndns,eye,sex,age,edu
8101992751,20.bmp,0.7259161,w,5,l,r,r,m,23,3
8101992751,60.bmp,0.7573905,w,2,l,r,r,m,23,3
8101992751,20.bmp,0.983088,q,8,l,r,r,m,23,3
8101992751,10.bmp,0.9105855,w,10,l,r,r,m,23,3
8101992751,20.bmp,1.2418958,w,13,l,r,r,m,23,3
8101992751,0.bmp,1.5487492,q,8,l,r,r,m,23,3
8101992751,70.bmp,1.0162472,q,2,l,r,r,m,23,3
8101992751,40.bmp,1.4022935,w,3,l,r,r,m,23,3
8101992751,0.bmp,1.29567,q,6,l,r,r,m,23,3
8101992751,80.bmp,0.9512599,q,12,l,r,r,m,23,3
8101992751,40.bmp,0.8144975,q,8,l,r,r,m,23,3
8101992751,60.bmp,1.4303617,q,5,l,r,r,m,23,3
8101992751,20.bmp,0.8015385,w,2,l,r,r,m,23,3
8101992751,70.bmp,0.779675,q,1,l,r,r,m,23,3
8101992751,0.bmp,0.7114363,w,12,l,r,r,m,23,3
8101992751,60.bmp,0.4373813,q,6,l,r,r,m,23,3
8101992751,70.bmp,0.9914107,w,10,l,r,r,m,23,3
8101992751,30.bmp,1.72775,q,12,l,r,r,m,23,3
8101992751,50.bmp,0.7134918,w,3,l,r,r,m,23,3
8101992751,30.bmp,0.7063112,w,13,l,r,r,m,23,3
8101992751,20.bmp,1.138118,q,4,l,r,r,m,23,3
8101992751,60.bmp,0.5904804,w,8,l,r,r,m,23,3
8101992751,10.bmp,1.1294167,q,13,l,r,r,m,23,3
8101992751,40.bmp,0.8401499,q,9,l,r,r,m,23,3
8101992751,0.bmp,1.4908263,w,1,l,r,r,m,23,3
8101992751,50.bmp,0.8754741,q,9,l,r,r,m,23,3
8101992751,50.bmp,0.7849556,w,13,l,r,r,m,23,3
8101992751,60.bmp,0.5519567,q,7,l,r,r,m,23,3
8101992751,40.bmp,0.4076889,w,5,l,r,r,m,23,3
8101992751,50.bmp,0.523347,q,4,l,r,r,m,23,3
8101992751,80.bmp,0.635088,q,2,l,r,r,m,23,3
8101992751,30.bmp,0.9126914,w,8,l,r,r,m,23,3
8101992751,10.bmp,0.8673353,q,9,l,r,r,m,23,3
8101992751,60.bmp,1.0001699,w,11,l,r,r,m,23,3
8101992751,0.bmp,1.2537377,q,7,l,r,r,m,23,3
8101992751,10.bmp,1.0948837,w,11,l,r,r,m,23,3
8101992751,70.bmp,1.2054097,w,6,l,r,r,m,23,3
8101992751,40.bmp,1.0022528,q,7,l,r,r,m,23,3
8101992751,30.bmp,1.0231432,w,3,l,r,r,m,23,3
8101992751,80.bmp,0.91476,q,3,l,r,r,m,23,3
8101992751,30.bmp,0.6385657,w,6,l,r,r,m,23,3
8101992751,80.bmp,0.8089291,q,6,l,r,r,m,23,3
8101992751,70.bmp,0.7498852,q,12,l,r,r,m,23,3
8101992751,70.bmp,0.7026382,w,3,l,r,r,m,23,3
8101992751,50.bmp,0.9202128,w,1,l,r,r,m,23,3
8101992751,10.bmp,0.8844163,w,5,l,r,r,m,23,3
8101992751,0.bmp,0.7557643,w,2,l,r,r,m,23,3
8101992751,10.bmp,0.5752655,w,1,l,r,r,m,23,3
8101992751,80.bmp,0.705718,q,1,l,r,r,m,23,3
8101992751,10.bmp,0.8077269,w,8,l,r,r,m,23,3
8101992751,70.bmp,0.5767331,q,5,l,r,r,m,23,3
8101992751,40.bmp,0.6571453,w,13,l,r,r,m,23,3
8101992751,60.bmp,1.0716579,w,1,l,r,r,m,23,3
8101992751,40.bmp,0.5357373,w,1,l,r,r,m,23,3
8101992751,40.bmp,0.6093336,w,10,l,r,r,m,23,3
8101992751,0.bmp,0.8754159,w,4,l,r,r,m,23,3
8101992751,60.bmp,0.7605486,q,10,l,r,r,m,23,3
8101992751,30.bmp,0.6583324,w,1,l,r,r,m,23,3
8101992751,10.bmp,0.758006,q,2,l,r,r,m,23,3
8101992751,20.bmp,0.8350946,w,10,l,r,r,m,23,3
8101992751,60.bmp,1.1960671,q,12,l,r,r,m,23,3
8101992751,50.bmp,0.6894971,q,12,l,r,r,m,23,3
